FECHA ,CIUDADELA ,ALTO_OBRAJES ,SEGUENCOMA ,BOLOGNIA ,RIO_SECO ,total
2019-09-20 ,2214 ,11244 ,5305 ,4952 ,3800 ,27515
2019-09-21 ,1919 ,7143 ,4338 ,3803 ,3141 ,20344
2019-09-22 ,1558 ,6489 ,3601 ,3405 ,2496 ,17549
2019-09-23 ,1967 ,11109 ,5134 ,4950 ,3537 ,26697
2019-09-24 ,1861 ,11245 ,5239 ,5181 ,3795 ,27321
2019-09-25 ,1979 ,11124 ,5398 ,4746 ,3731 ,26978
2019-09-26 ,1909 ,10893 ,5409 ,4886 ,3943 ,27040
2019-09-27 ,1803 ,11318 ,5344 ,4707 ,5255 ,28427
2019-09-28 ,1953 ,8657 ,4171 ,4187 ,5554 ,24522
2019-09-29 ,1434 ,5828 ,3571 ,3143 ,4142 ,18118
2019-09-30 ,1864 ,11153 ,5341 ,5040 ,4265 ,27663
2019-10-01 ,1847 ,11367 ,5266 ,4694 ,3575 ,26749
2019-10-02 ,2008 ,11136 ,5342 ,4818 ,3665 ,26969
2019-10-03 ,2108 ,11623 ,5203 ,4867 ,3652 ,27453
2019-10-04 ,1982 ,10891 ,5195 ,4774 ,3793 ,26635
2019-10-05 ,1780 ,7437 ,4132 ,3600 ,2695 ,19644
2019-10-06 ,1678 ,5972 ,3600 ,3120 ,2330 ,16700
2019-10-07 ,2229 ,11212 ,5397 ,5050 ,3804 ,27692
2019-10-08 ,1975 ,11448 ,5494 ,5117 ,3782 ,27816
2019-10-09 ,2055 ,11206 ,5647 ,4992 ,3696 ,27596
2019-10-10 ,2325 ,11833 ,5662 ,5020 ,4125 ,28965
2019-10-11 ,2043 ,11558 ,5543 ,4972 ,4021 ,28137
2019-10-12 ,1569 ,7489 ,4455 ,3817 ,2867 ,20197
2019-10-13 ,1516 ,5973 ,3716 ,2918 ,2339 ,16462
2019-10-14 ,2016 ,11114 ,5248 ,4790 ,3633 ,26801
2019-10-15 ,1936 ,11475 ,5621 ,5121 ,3686 ,27839
2019-10-16 ,2164 ,11513 ,5505 ,5057 ,3790 ,28029
2019-10-17 ,2067 ,10765 ,5190 ,4752 ,3613 ,26387
2019-10-18 ,2222 ,11039 ,5356 ,4903 ,3940 ,27460
2019-10-19 ,1381 ,6439 ,4077 ,3443 ,2559 ,17899
2019-10-21 ,1923 ,10796 ,5143 ,4898 ,3736 ,26496
2019-10-22 ,2058 ,9905 ,4933 ,4577 ,3761 ,25234
2019-10-23 ,2006 ,9676 ,4720 ,3543 ,2955 ,22900
2019-10-24 ,2034 ,10349 ,5041 ,4554 ,3504 ,25482
